,Firstname,Surname,Born,Died,Born country,Gender,Year,Category,Motivation
750,Daniel,Bovet,1907-03-23,1992-04-08,Switzerland,male,1957,Medicine,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances and especially their action on the vascular system and the skeletal muscles"""
751,Joseph L.,Goldstein,1940-04-18,,USA,male,1985,Medicine,"""for their discoveries concerning the regulation of cholesterol metabolism"""
752,Paul A.M.,Dirac,1902-08-08,1984-10-20,United Kingdom,male,1933,Physics,"""for the discovery of new productive forms of atomic theory"""
753,William B.,Shockley,1910-02-13,1989-08-12,United Kingdom,male,1956,Physics,"""for their researches on semiconductors and their discovery of the transistor effect"""
754,Brian D.,Josephson,1940-01-04,,United Kingdom,male,1973,Physics,"""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier in particular those phenomena which are generally known as the Josephson effects"""
755,John E.,Sulston,1942-03-27,2018-03-06,United Kingdom,male,2002,Medicine,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'"""
756,Linda B.,Buck,1947-01-29,,USA,female,2004,Medicine,"""for their discoveries of odorant receptors and the organization of the olfactory system"""
757,Elihu,Root,1845-02-15,1937-02-07,USA,male,1912,Peace,"""for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries"""
758,John,Boyd Orr,1880-09-23,1971-06-25,Scotland,male,1949,Peace,"""for his lifelong effort to conquer hunger and want thereby helping to remove a major cause of military conflict and war"""
759,Anwar,al-Sadat,1918-12-25,1981-10-06,Egypt,male,1978,Peace,"""for jointly having negotiated peace between Egypt and Israel in 1978"""
760,Adolfo,Pérez Esquivel,1931-11-26,,Argentina,male,1980,Peace,"""for being a source of inspiration to repressed people especially in Latin America"""
762,Luigi,Pirandello,1867-06-28,1936-12-10,Italy,male,1934,Literature,"""for his bold and ingenious revival of dramatic and scenic art"""
763,Roger,Martin du Gard,1881-03-23,1958-08-22,France,male,1937,Literature,"""for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>"""
764,Pär,Lagerkvist,1891-05-23,1974-07-11,Sweden,male,1951,Literature,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind"""
765,Mikhail,Sholokhov,1905-05-24,1984-02-21,Russia,male,1965,Literature,"""for the artistic power and integrity with which in his epic of the Don he has given expression to a historic phase in the life of the Russian people"""
766,Odysseus,Elytis,1911-11-02,1996-03-18,Greece,male,1979,Literature,"""for his poetry which against the background of Greek tradition depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness"""
767,Douglass C.,North,1920-11-05,2015-11-23,USA,male,1993,Economics,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change"""
768,Jean-Pierre,Sauvage,1944-10-21,,France,male,2016,Chemistry,"""for the design and synthesis of molecular machines"""
769,Rainer,Weiss,1932-09-29,,Germany,male,2017,Physics,"""for decisive contributions to the LIGO detector and the observation of gravitational waves"""
770,Sheldon,Glashow,1932-12-05,,USA,male,1979,Physics,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current"""
771,Subramanyan,Chandrasekhar,1910-10-19,1995-08-21,Pakistan,male,1983,Physics,"""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars"""
772,Jack,Steinberger,1921-05-25,2020-12-12,Germany,male,1988,Physics,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino"""
773,Steven,Chu,1948-02-28,,USA,male,1997,Physics,"""for development of methods to cool and trap atoms with laser light"""
774,Gerardus,'t Hooft,1946-07-05,,the Netherlands,male,1999,Physics,"""for elucidating the quantum structure of electroweak interactions in physics"""
775,Martinus J.G.,Veltman,1931-06-27,2021-01-04,the Netherlands,male,1999,Physics,"""for elucidating the quantum structure of electroweak interactions in physics"""
776,Sir William,Ramsay,1852-10-02,1916-07-23,Scotland,male,1904,Chemistry,"""in recognition of his services in the discovery of the inert gaseous elements in air and his determination of their place in the periodic system"""
777,Peter,Debye,1884-03-24,1966-11-02,the Netherlands,male,1936,Chemistry,"""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases"""
778,Kurt,Alder,1902-07-10,1958-06-20,Poland,male,1950,Chemistry,"""for their discovery and development of the diene synthesis"""
779,John,Bardeen,1908-05-23,1991-01-30,USA,male,1956,Physics,"""for their researches on semiconductors and their discovery of the transistor effect"""
780,Christian,Lange,1869-09-17,1938-12-11,Norway,male,1921,Peace,"""for their lifelong contributions to the cause of peace and organized internationalism"""
781,Aristide,Briand,1862-03-28,1932-03-07,France,male,1926,Peace,"""for their crucial role in bringing about the Locarno Treaty"""
782,Andrei,Sakharov,1921-05-21,1989-12-14,Russia,male,1975,Peace,"""for his struggle for human rights in the Soviet Union for disarmament and cooperation between all nations"""
783,Desmond,Tutu,1931-10-07,2021-12-26,South Africa,male,1984,Peace,"""for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa"""
784,John F.,Nash Jr.,1928-06-13,2015-05-23,USA,male,1994,Economics,"""for their pioneering analysis of equilibria in the theory of non-cooperative games"""
785,F. Duncan M.,Haldane,1951-09-14,,United Kingdom,male,2016,Physics,"""for theoretical discoveries of topological phase transitions and topological phases of matter"""
787,Xiaobo,Liu,1955-12-28,2017-07-13,China,male,2010,Peace,"""for his long and non-violent struggle for fundamental human rights in China"""
788,Christopher A.,Sims,1942-10-21,,USA,male,2011,Economics,"""for their empirical research on cause and effect in the macroeconomy"""
789,Tomas,Lindahl,1938-01-28,,Sweden,male,2015,Chemistry,"""for mechanistic studies of DNA repair"""
791,Steven,Weinberg,1933-05-03,2021-07-23,USA,male,1979,Physics,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current"""
792,David M.,Lee,1931-01-20,,USA,male,1996,Physics,"""for their discovery of superfluidity in helium-3"""
793,Frederick,Soddy,1877-09-02,1956-09-22,United Kingdom,male,1921,Chemistry,"""for his contributions to our knowledge of the chemistry of radioactive substances and his investigations into the origin and nature of isotopes"""
794,Richard,Kuhn,1900-12-03,1967-07-31,Austria,male,1938,Chemistry,"""for his work on carotenoids and vitamins"""
795,Andrew Z.,Fire,1959-04-27,,USA,male,2006,Medicine,"""for their discovery of RNA interference - gene silencing by double-stranded RNA"""
796,Craig C.,Mello,1960-10-18,,USA,male,2006,Medicine,"""for their discovery of RNA interference - gene silencing by double-stranded RNA"""
797,Eric S.,Maskin,1950-12-12,,USA,male,2007,Economics,"""for having laid the foundations of mechanism design theory"""
798,Allan M.,Cormack,1924-02-23,1998-05-07,South Africa,male,1979,Medicine,"""for the development of computer assisted tomography"""
799,Edwin G.,Krebs,1918-06-06,2009-12-21,USA,male,1992,Medicine,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism"""
800,Phillip A.,Sharp,1944-06-06,,USA,male,1993,Medicine,"""for their discoveries of split genes"""
801,Gerhard,Herzberg,1904-12-25,1999-03-03,Germany,male,1971,Chemistry,"""for his contributions to the knowledge of electronic structure and geometry of molecules particularly free radicals"""
802,Christian,Anfinsen,1916-03-26,1995-05-14,USA,male,1972,Chemistry,"""for his work on ribonuclease especially concerning the connection between the amino acid sequence and the biologically active conformation"""
803,Stanford,Moore,1913-09-04,1982-08-23,USA,male,1972,Chemistry,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule"""
804,Henry,Taube,1915-11-30,2005-11-16,Canada,male,1983,Chemistry,"""for his work on the mechanisms of electron transfer reactions especially in metal complexes"""
805,Theodor,Kocher,1841-08-25,1917-07-27,Switzerland,male,1909,Medicine,"""for his work on the physiology pathology and surgery of the thyroid gland"""
806,Otto,Meyerhof,1884-04-12,1951-10-06,Germany,male,1922,Medicine,"""for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle"""
807,Sir Alexander,Fleming,1881-08-06,1955-03-11,Scotland,male,1945,Medicine,"""for the discovery of penicillin and its curative effect in various infectious diseases"""
808,Sir Howard,Florey,1898-09-24,1968-02-21,Australia,male,1945,Medicine,"""for the discovery of penicillin and its curative effect in various infectious diseases"""
809,Bernardo,Houssay,1887-04-10,1971-09-21,Argentina,male,1947,Medicine,"""for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar"""
810,Philip S.,Hench,1896-02-28,1965-03-30,USA,male,1950,Medicine,"""for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects"""
811,André F.,Cournand,1895-09-24,1988-02-19,France,male,1956,Medicine,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system"""
812,James,Watson,1928-04-06,,USA,male,1962,Medicine,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material"""
813,François,Jacob,1920-06-17,2013-04-19,France,male,1965,Medicine,"""for their discoveries concerning genetic control of enzyme and virus synthesis"""
814,Nikolay,Semenov,1896-04-03,1986-09-25,Russia,male,1956,Chemistry,"""for their researches into the mechanism of chemical reactions"""
815,Hartmut,Michel,1948-07-18,,Germany,male,1988,Chemistry,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre"""
816,Ahmed,Zewail,1946-02-26,2016-08-02,Egypt,male,1999,Chemistry,"""for his studies of the transition states of chemical reactions using femtosecond spectroscopy"""
817,Carl,Cori,1896-12-05,1984-10-20,Czech Republic,male,1947,Medicine,"""for their discovery of the course of the catalytic conversion of glycogen"""
818,Tadeus,Reichstein,1897-07-20,1996-08-01,Poland,male,1950,Medicine,"""for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects"""
819,George,Beadle,1903-10-22,1989-06-09,USA,male,1958,Medicine,"""for their discovery that genes act by regulating definite chemical events"""
820,H. Robert,Horvitz,1947-05-08,,USA,male,2002,Medicine,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'"""
821,Imre,Kertész,1929-11-09,2016-03-31,Hungary,male,2002,Literature,"""for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history"""
822,Peter,Agre,1949-01-30,,USA,male,2003,Chemistry,"""for the discovery of water channels"""
823,Roderick,MacKinnon,1956-02-19,,USA,male,2003,Chemistry,"""for structural and mechanistic studies of ion channels"""
824,Clive W.J.,Granger,1934-09-04,2009-05-27,United Kingdom,male,2003,Economics,"""for methods of analyzing economic time series with common trends (cointegration)"""
825,Orhan,Pamuk,1952-06-07,,Turkey,male,2006,Literature,"""who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures"""
826,Arthur,Ashkin,1922-09-02,2020-09-21,USA,male,2018,Physics,"""for the optical tweezers and their application to biological systems"""
827,Charles,Rice,1952-08-25,,USA,male,2020,Medicine,"""for the discovery of Hepatitis C virus"""
828,David H.,Hubel,1926-02-27,2013-09-22,Canada,male,1981,Medicine,"""for their discoveries concerning information processing in the visual system"""
829,Baruj,Benacerraf,1920-10-29,2011-08-02,Venezuela,male,1980,Medicine,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions"""
830,Marie,Curie,1867-11-07,1934-07-04,Poland,female,1911,Chemistry,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element"""
831,J.J.,Thomson,1856-12-18,1940-08-30,United Kingdom,male,1906,Physics,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases"""
832,Owen Willans,Richardson,1879-04-26,1959-02-15,United Kingdom,male,1928,Physics,"""for his work on the thermionic phenomenon and especially for the discovery of the law named after him"""
833,Philip W.,Anderson,1923-12-13,2020-03-29,USA,male,1977,Physics,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems"""
834,Abdus,Salam,1926-01-29,1996-11-21,Pakistan,male,1979,Physics,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current"""
835,Nicolaas,Bloembergen,1920-03-11,2017-09-05,the Netherlands,male,1981,Physics,"""for their contribution to the development of laser spectroscopy"""
836,Richard E.,Taylor,1929-11-02,2018-02-22,Canada,male,1990,Physics,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics"""
837,Cordell,Hull,1871-10-02,1955-07-23,USA,male,1945,Peace,"""for his indefatigable work for international understanding and his pivotal role in establishing the United Nations"""
839,Seán,MacBride,1904-01-26,1988-01-15,France,male,1974,Peace,"""for his efforts to secure and develop human rights throughout the world"""
840,Anatole,France,1844-04-16,1924-10-12,France,male,1921,Literature,"""in recognition of his brilliant literary achievements characterized as they are by a nobility of style a profound human sympathy grace and a true Gallic temperament"""
841,William Butler,Yeats,1865-06-13,1939-01-28,Ireland,male,1923,Literature,"""for his always inspired poetry which in a highly artistic form gives expression to the spirit of a whole nation"""
842,Johannes V.,Jensen,1873-01-20,1950-11-25,Denmark,male,1944,Literature,"""for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold freshly creative style"""
843,Dario,Fo,1926-03-24,2016-10-13,Italy,male,1997,Literature,"""who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden"""
844,James J.,Heckman,1944-04-19,,USA,male,2000,Economics,"""for his development of theory and methods for analyzing selective samples"""
845,Sir Paul,Nurse,1949-01-25,,United Kingdom,male,2001,Medicine,"""for their discoveries of key regulators of the cell cycle"""
847,Samuel C.C.,Ting,1936-01-27,,USA,male,1976,Physics,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind"""
848,William A.,Fowler,1911-08-09,1995-03-14,USA,male,1983,Physics,"""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe"""
849,The,Svedberg,1884-08-30,1971-02-25,Sweden,male,1926,Chemistry,"""for his work on disperse systems"""
850,Hans,von Euler-Chelpin,1873-02-15,1964-11-06,Germany,male,1929,Chemistry,"""for their investigations on the fermentation of sugar and fermentative enzymes"""
851,Irving,Langmuir,1881-01-31,1957-08-16,USA,male,1932,Chemistry,"""for his discoveries and investigations in surface chemistry"""
852,Norman,Haworth,1883-03-19,1950-03-19,United Kingdom,male,1937,Chemistry,"""for his investigations on carbohydrates and vitamin C"""
853,Fredrik,Bajer,1837-04-21,1922-01-22,Denmark,male,1908,Peace,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors"""
854,Tobias,Asser,1838-04-28,1913-07-29,the Netherlands,male,1911,Peace,"""for his role as co-founder of the Institut de droit international initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague and pioneer in the field of international legal relations"""
855,Frank B.,Kellogg,1856-12-22,1937-12-21,USA,male,1929,Peace,"""for his crucial role in bringing about the Briand-Kellogg Pact"""
856,Martin Luther,King Jr.,1929-01-15,1968-04-04,USA,male,1964,Peace,"""for his non-violent struggle for civil rights for the Afro-American population"""
858,Yasunari,Kawabata,1899-06-11,1972-04-16,Japan,male,1968,Literature,"""for his narrative mastery which with great sensibility expresses the essence of the Japanese mind"""
859,Patrick,White,1912-05-28,1990-09-30,United Kingdom,male,1973,Literature,"""for an epic and psychological narrative art which has introduced a new continent into literature"""
860,Leland,Hartwell,1939-10-30,,USA,male,2001,Medicine,"""for their discoveries of key regulators of the cell cycle"""
861,Paul J.,Flory,1910-06-19,1985-09-08,USA,male,1974,Chemistry,"""for his fundamental achievements both theoretical and experimental in the physical chemistry of the macromolecules"""
862,Bruce,Merrifield,1921-07-15,2006-05-14,USA,male,1984,Chemistry,"""for his development of methodology for chemical synthesis on a solid matrix"""
863,Charles,Richet,1850-08-26,1935-12-04,France,male,1913,Medicine,"""in recognition of his work on anaphylaxis"""
864,George R.,Minot,1885-12-02,1950-02-25,USA,male,1934,Medicine,"""for their discoveries concerning liver therapy in cases of anaemia"""
865,Hans,Spemann,1869-06-27,1941-09-12,Germany,male,1935,Medicine,"""for his discovery of the organizer effect in embryonic development"""
866,Edward C.,Kendall,1886-03-08,1972-05-04,USA,male,1950,Medicine,"""for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects"""
867,Arthur,Kornberg,1918-03-03,2007-10-26,USA,male,1959,Medicine,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid"""
868,Andrew,Huxley,1917-11-22,2012-05-30,United Kingdom,male,1963,Medicine,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane"""
869,Gabriel,Lippmann,1845-08-16,1921-07-13,Luxembourg,male,1908,Physics,"""for his method of reproducing colours photographically based on the phenomenon of interference"""
870,Victor F.,Hess,1883-06-24,1964-12-17,Austria,male,1936,Physics,"""for his discovery of cosmic radiation"""
871,Clinton,Davisson,1881-10-22,1958-02-01,USA,male,1937,Physics,"""for their experimental discovery of the diffraction of electrons by crystals"""
872,Otto,Stern,1888-02-17,1969-08-17,Poland,male,1943,Physics,"""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton"""
873,J. Hans D.,Jensen,1907-06-25,1973-02-11,Germany,male,1963,Physics,"""for their discoveries concerning nuclear shell structure"""
874,Ei-ichi,Negishi,1935-07-14,2021-06-06,China,male,2010,Chemistry,"""for palladium-catalyzed cross couplings in organic synthesis"""
875,Christopher A.,Pissarides,1948-02-20,,Cyprus,male,2010,Economics,"""for their analysis of markets with search frictions"""
876,Jean,Tirole,1953-08-09,,France,male,2014,Economics,"""for his analysis of market power and regulation"""
877,Gérard,Mourou,1944-06-22,,France,male,2018,Physics,"""for their method of generating high-intensity ultra-short optical pulses"""
878,Louise,Glück,1943-04-22,,USA,female,2020,Literature,"""for her unmistakable poetic voice that with austere beauty makes individual existence universal"""
879,Salvador E.,Luria,1912-08-13,1991-02-06,Italy,male,1969,Medicine,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses"""
880,Roger,Guillemin,1924-01-11,,France,male,1977,Medicine,"""for their discoveries concerning the peptide hormone production of the brain"""
881,Roger W.,Sperry,1913-08-20,1994-04-17,USA,male,1981,Medicine,"""for his discoveries concerning the functional specialization of the cerebral hemispheres"""
882,Barbara,McClintock,1902-06-16,1992-09-02,USA,female,1983,Medicine,"""for her discovery of mobile genetic elements"""
883,Stanley,Cohen,1922-11-17,2020-02-05,USA,male,1986,Medicine,"""for their discoveries of growth factors"""
884,E. Donnall,Thomas,1920-03-15,2012-10-20,USA,male,1990,Medicine,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease"""
885,Martin,Rodbell,1925-12-01,1998-12-07,USA,male,1994,Medicine,"""for their discovery of G-proteins and the role of these proteins in signal transduction in cells"""
886,Eric,Cornell,1961-12-19,,USA,male,2001,Physics,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates"""
887,H. David,Politzer,1949-08-31,,USA,male,2004,Physics,"""for the discovery of asymptotic freedom in the theory of the strong interaction"""
888,Gerhard,Ertl,1936-10-10,,Germany,male,2007,Chemistry,"""for his studies of chemical processes on solid surfaces"""
889,Doris,Lessing,1919-10-22,2013-11-17,Iran,female,2007,Literature,"""that epicist of the female experience who with scepticism fire and visionary power has subjected a divided civilisation to scrutiny"""
890,Carol W.,Greider,1961-04-15,,USA,female,2009,Medicine,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase"""
891,Charles K.,Kao,1933-11-04,2018-09-23,China,male,2009,Physics,"""for groundbreaking achievements concerning the transmission of light in fibers for optical communication"""
892,David J.,Wineland,1944-02-24,,USA,male,2012,Physics,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems"""
893,Malala,Yousafzai,1997-07-12,,Pakistan,female,2014,Peace,"""for their struggle against the suppression of children and young people and for the right of all children to education"""
894,Sir J. Fraser,Stoddart,1942-05-24,,United Kingdom,male,2016,Chemistry,"""for the design and synthesis of molecular machines"""
895,Klaus,Hasselmann,1931-10-25,,Germany,male,2021,Physics,"""for the physical modelling of Earth’s climate quantifying variability and reliably predicting global warming"""
896,Russell A.,Hulse,1950-11-28,,USA,male,1993,Physics,"""for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation"""
897,Wilhelm,Ostwald,1853-09-02,1932-04-04,Latvia,male,1909,Chemistry,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction"""
898,Ernesto Teodoro,Moneta,1833-09-20,1918-02-10,Italy,male,1907,Peace,"""for his work in the press and in peace meetings both public and private for an understanding between France and Italy"""
900,Aung San Suu Kyi,,1945-06-19,,Myanmar,female,1991,Peace,"""for her non-violent struggle for democracy and human rights"""
901,Frédéric,Mistral,1830-09-08,1914-03-25,France,male,1904,Literature,"""in recognition of the fresh originality and true inspiration of his poetic production which faithfully reflects the natural scenery and native spirit of his people and in addition his significant work as a Proven&ccedil;al philologist"""
902,Maurice,Maeterlinck,1862-08-29,1949-05-06,Belgium,male,1911,Literature,"""in appreciation of his many-sided literary activities and especially of his dramatic works which are distinguished by a wealth of imagination and by a poetic fancy which reveals sometimes in the guise of a fairy tale a deep inspiration while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations"""
903,Romain,Rolland,1866-01-29,1944-12-30,France,male,1915,Literature,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings"""
904,Pearl,Buck,1892-06-26,1973-03-06,USA,female,1938,Literature,"""for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces"""
905,André,Gide,1869-11-22,1951-02-19,France,male,1947,Literature,"""for his comprehensive and artistically significant writings in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight"""
906,Joseph,Brodsky,1940-05-24,1996-01-28,Russia,male,1987,Literature,"""for an all-embracing authorship imbued with clarity of thought and poetic intensity"""
907,Gunnar,Myrdal,1898-12-06,1987-05-17,Sweden,male,1974,Economics,"""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic social and institutional phenomena"""
908,Jack,Kilby,1923-11-08,2005-06-20,USA,male,2000,Physics,"""for his part in the invention of the integrated circuit"""
909,J. M.,Coetzee,1940-02-09,,South Africa,male,2003,Literature,"""who in innumerable guises portrays the surprising involvement of the outsider"""
910,Elfriede,Jelinek,1946-10-20,,Austria,female,2004,Literature,"""for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power"""
911,Edward C.,Prescott,1940-12-26,,USA,male,2004,Economics,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles"""
912,Melvin,Calvin,1911-04-08,1997-01-08,USA,male,1961,Chemistry,"""for his research on the carbon dioxide assimilation in plants"""
913,William H.,Stein,1911-06-25,1980-02-02,USA,male,1972,Chemistry,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule"""
914,Thomas R.,Cech,1947-12-08,,USA,male,1989,Chemistry,"""for their discovery of catalytic properties of RNA"""
915,Johannes,Fibiger,1867-04-23,1928-01-30,Denmark,male,1926,Medicine,"""for his discovery of the Spiroptera carcinoma"""
916,Niels Ryberg,Finsen,1860-12-15,1904-09-24,Denmark,male,1903,Medicine,"""in recognition of his contribution to the treatment of diseases especially lupus vulgaris with concentrated light radiation whereby he has opened a new avenue for medical science"""
917,Alphonse,Laveran,1845-06-18,1922-05-18,France,male,1907,Medicine,"""in recognition of his work on the role played by protozoa in causing diseases"""
918,John F.,Enders,1897-02-10,1985-09-08,USA,male,1954,Medicine,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue"""
919,Edward,Tatum,1909-12-14,1975-11-05,USA,male,1958,Medicine,"""for their discovery that genes act by regulating definite chemical events"""
920,Bertha,von Suttner,1843-06-09,1914-06-21,Czech Republic,female,1905,Peace,"""for her audacity to oppose the horrors of war"""
921,Woodrow,Wilson,1856-12-28,1924-02-03,USA,male,1919,Peace,"""for his role as founder of the League of Nations"""
922,Mikhail,Gorbachev,1931-03-02,2022-08-30,Russia,male,1990,Peace,"""for the leading role he played in the radical changes in East-West relations"""
923,Trygve,Haavelmo,1911-12-13,1999-07-26,Norway,male,1989,Economics,"""for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures"""
924,Zhores,Alferov,1930-03-15,2019-03-01,Belarus,male,2000,Physics,"""for developing semiconductor heterostructures used in high-speed- and opto-electronics"""
925,Alan,Heeger,1936-01-22,,USA,male,2000,Chemistry,"""for the discovery and development of conductive polymers"""
926,Sir Bernard,Katz,1911-03-26,2003-04-20,Germany,male,1970,Medicine,"""for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage release and inactivation"""
927,Julius,Axelrod,1912-05-30,2004-12-29,USA,male,1970,Medicine,"""for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage release and inactivation"""
928,Earl W.,Sutherland Jr.,1915-11-19,1974-03-09,USA,male,1971,Medicine,"""for his discoveries concerning the mechanisms of the action of hormones"""
929,Konrad,Lorenz,1903-11-07,1989-02-27,Austria,male,1973,Medicine,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns"""
930,George E.,Palade,1912-11-19,2008-10-07,Romania,male,1974,Medicine,"""for their discoveries concerning the structural and functional organization of the cell"""
931,Hans,Bethe,1906-07-02,2005-03-06,France,male,1967,Physics,"""for his contributions to the theory of nuclear reactions especially his discoveries concerning the energy production in stars"""
932,Hannes,Alfvén,1908-05-30,1995-04-02,Sweden,male,1970,Physics,"""for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics"""
933,Raymond,Davis Jr.,1914-10-14,2006-05-31,USA,male,2002,Physics,"""for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos"""
934,Frank,Wilczek,1951-05-15,,USA,male,2004,Physics,"""for the discovery of asymptotic freedom in the theory of the strong interaction"""
935,Richard R.,Schrock,1945-01-04,,USA,male,2005,Chemistry,"""for the development of the metathesis method in organic synthesis"""
936,Joachim,Frank,1940-09-12,,Germany,male,2017,Chemistry,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution"""
938,David,Julius,1955-11-04,,USA,male,2021,Medicine,"""for their discoveries of receptors for temperature and touch"""
939,Konstantin,Novoselov,1974-08-23,,Russia,male,2010,Physics,"""for groundbreaking experiments regarding the two-dimensional material graphene"""
940,Tomas,Tranströmer,1931-04-15,2015-03-26,Sweden,male,2011,Literature,"""because through his condensed translucent images he gives us fresh access to reality"""
941,James,Cronin,1931-09-29,2016-08-25,USA,male,1980,Physics,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons"""
942,Wolfgang,Paul,1913-08-10,1993-12-07,Germany,male,1989,Physics,"""for the development of the ion trap technique"""
943,Richard,Zsigmondy,1865-04-01,1929-09-24,Austria,male,1925,Chemistry,"""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used which have since become fundamental in modern colloid chemistry"""
944,William F.,Giauque,1895-05-12,1982-03-28,Canada,male,1949,Chemistry,"""for his contributions in the field of chemical thermodynamics particularly concerning the behaviour of substances at extremely low temperatures"""
945,Finn E.,Kydland,1943-12-01,,Norway,male,2004,Economics,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles"""
946,Peter A.,Diamond,1940-04-29,,USA,male,2010,Economics,"""for their analysis of markets with search frictions"""
947,Yoshinori,Ohsumi,1945-02-09,,Japan,male,2016,Medicine,"""for his discoveries of mechanisms for autophagy"""
948,George Paget,Thomson,1892-05-03,1975-09-10,United Kingdom,male,1937,Physics,"""for their experimental discovery of the diffraction of electrons by crystals"""
949,Wolfgang,Pauli,1900-04-25,1958-12-15,Austria,male,1945,Physics,"""for the discovery of the Exclusion Principle also called the Pauli Principle"""
950,Cecil,Powell,1903-12-05,1969-08-09,United Kingdom,male,1950,Physics,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method"""
