,Firstname,Surname,Born,Died,Born country,Gender,Year,Category,Motivation
602,Hideki,Yukawa,1907-01-23,1981-09-08,Japan,male,1949,Physics,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces"""
603,Pavel A.,Cherenkov,1904-07-28,1990-01-06,Russia,male,1958,Physics,"""for the discovery and the interpretation of the Cherenkov effect"""
604,Julian,Schwinger,1918-02-12,1994-07-16,USA,male,1965,Physics,"""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles"""
605,Alfred,Kastler,1902-05-03,1984-01-07,France,male,1966,Physics,"""for the discovery and development of optical methods for studying Hertzian resonances in atoms"""
606,John H.,Van Vleck,1899-03-13,1980-10-27,USA,male,1977,Physics,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems"""
607,William D.,Phillips,1948-11-05,,USA,male,1997,Physics,"""for development of methods to cool and trap atoms with laser light"""
608,Adolf,von Baeyer,1835-10-31,1917-08-20,Germany,male,1905,Chemistry,"""in recognition of his services in the advancement of organic chemistry and the chemical industry through his work on organic dyes and hydroaromatic compounds"""
609,George E.,Smith,1930-05-10,,USA,male,2009,Physics,"""for the invention of an imaging semiconductor circuit - the CCD sensor"""
610,Lloyd S.,Shapley,1923-06-02,2016-03-12,USA,male,2012,Economics,"""for the theory of stable allocations and the practice of market design"""
611,Robert F.,Engle III,1942-11-10,,USA,male,2003,Economics,"""for methods of analyzing economic time series with time-varying volatility (ARCH)"""
612,Oliver,Smithies,1925-06-23,2017-01-10,United Kingdom,male,2007,Medicine,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells"""
613,Al,Gore,1948-03-31,,USA,male,2007,Peace,"""for their efforts to build up and disseminate greater knowledge about man-made climate change and to lay the foundations for the measures that are needed to counteract such change"""
614,Harald,zur Hausen,1936-03-11,,Germany,male,2008,Medicine,"""for his discovery of human papilloma viruses causing cervical cancer"""
615,Glenn T.,Seaborg,1912-04-19,1999-02-25,USA,male,1951,Chemistry,"""for their discoveries in the chemistry of the transuranium elements"""
616,Robert S.,Mulliken,1896-06-07,1986-10-31,USA,male,1966,Chemistry,"""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method"""
617,Walter,Kohn,1923-03-09,2016-04-19,Austria,male,1998,Chemistry,"""for his development of the density-functional theory"""
618,Günter,Blobel,1936-05-21,2018-02-18,Poland,male,1999,Medicine,"""for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell"""
619,Randal,Cremer,1828-03-18,1908-07-22,United Kingdom,male,1903,Peace,"""for his longstanding and devoted effort in favour of the ideas of peace and arbitration"""
620,Albert,Schweitzer,1875-01-14,1965-09-04,France,male,1952,Peace,"""for his altruism reverence for life and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one"""
621,Lech,Walesa,1943-09-29,,Poland,male,1983,Peace,"""for non-violent struggle for free trade unions and human rights in Poland"""
622,Karl,Gjellerup,1857-06-02,1919-10-11,Denmark,male,1917,Literature,"""for his varied and rich poetry which is inspired by lofty ideals"""
623,John,Galsworthy,1867-08-14,1933-01-31,United Kingdom,male,1932,Literature,"""for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>"""
624,Heinrich,Böll,1917-12-21,1985-07-16,Germany,male,1972,Literature,"""for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature"""
625,Bertil,Ohlin,1899-04-23,1979-08-03,Sweden,male,1977,Economics,"""for their pathbreaking contribution to the theory of international trade and international capital movements"""
626,Maurice,Allais,1911-05-31,2010-10-09,France,male,1988,Economics,"""for his pioneering contributions to the theory of markets and efficient utilization of resources"""
627,Otto,Warburg,1883-10-08,1970-08-01,Germany,male,1931,Medicine,"""for his discovery of the nature and mode of action of the respiratory enzyme"""
